+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) | SUM(BODY)  | AVG(BODY) |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/competition/2ebdf1447/ranking     |  9.468 |  9.468 |   9.468 |  9.468 |  9.468 |  9.468 |  9.468 |  0.000 | 11005.000 | 11005.000 |  11005.000 | 11005.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52d91/score     |  9.156 |  9.156 |   9.156 |  9.156 |  9.156 |  9.156 |  9.156 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     3 |   0 |   2 |   0 |   1 |   0 | GET    | /api/player/player/9fa52d33                   |  0.024 | 12.592 |  24.500 |  8.167 | 12.592 | 12.592 | 12.592 |  5.765 |     0.000 |   372.000 |    649.000 |   216.333 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52e16/score     |  7.796 |  7.796 |   7.796 |  7.796 |  7.796 |  7.796 |  7.796 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa536b7/score     |  7.784 |  7.784 |   7.784 |  7.784 |  7.784 |  7.784 |  7.784 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa527df                   |  7.772 |  7.772 |   7.772 |  7.772 |  7.772 |  7.772 |  7.772 |  0.000 |   541.000 |   541.000 |    541.000 |   541.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa528d7                   |  7.728 |  7.728 |   7.728 |  7.728 |  7.728 |  7.728 |  7.728 |  0.000 |   543.000 |   543.000 |    543.000 |   543.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa5297d                   |  7.568 |  7.568 |   7.568 |  7.568 |  7.568 |  7.568 |  7.568 |  0.000 |   776.000 |   776.000 |    776.000 |   776.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a1b                   |  7.520 |  7.564 |  15.084 |  7.542 |  7.564 |  7.564 |  7.564 |  0.022 |   776.000 |   776.000 |   1552.000 |   776.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52814                   |  7.532 |  7.532 |   7.532 |  7.532 |  7.532 |  7.532 |  7.532 |  0.000 |   543.000 |   543.000 |    543.000 |   543.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa5281e                   |  7.512 |  7.512 |   7.512 |  7.512 |  7.512 |  7.512 |  7.512 |  0.000 |   760.000 |   760.000 |    760.000 |   760.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa528a7                   |  7.504 |  7.504 |   7.504 |  7.504 |  7.504 |  7.504 |  7.504 |  0.000 |   759.000 |   759.000 |    759.000 |   759.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa53e5e/score     |  7.488 |  7.488 |   7.488 |  7.488 |  7.488 |  7.488 |  7.488 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa527db                   |  7.380 |  7.380 |   7.380 |  7.380 |  7.380 |  7.380 |  7.380 |  0.000 |   358.000 |   358.000 |    358.000 |   358.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a52                   |  6.628 |  7.672 |  14.300 |  7.150 |  7.672 |  7.672 |  7.672 |  0.522 |   469.000 |   559.000 |   1028.000 |   514.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa529e9                   |  6.428 |  7.676 |  14.104 |  7.052 |  7.676 |  7.676 |  7.676 |  0.624 |   373.000 |   557.000 |    930.000 |   465.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa5280a                   |  6.800 |  6.800 |   6.800 |  6.800 |  6.800 |  6.800 |  6.800 |  0.000 |   760.000 |   760.000 |    760.000 |   760.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52944                   |  6.220 |  7.244 |  13.464 |  6.732 |  7.244 |  7.244 |  7.244 |  0.512 |   674.000 |   775.000 |   1449.000 |   724.500 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa5287c                   |  5.896 |  7.520 |  13.416 |  6.708 |  7.520 |  7.520 |  7.520 |  0.812 |   453.000 |   760.000 |   1213.000 |   606.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa5323b/score     |  6.628 |  6.628 |   6.628 |  6.628 |  6.628 |  6.628 |  6.628 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a15                   |  6.620 |  6.620 |   6.620 |  6.620 |  6.620 |  6.620 |  6.620 |  0.000 |   776.000 |   776.000 |    776.000 |   776.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52d6d                   |  0.932 | 12.124 |  13.056 |  6.528 | 12.124 | 12.124 | 12.124 |  5.596 |   372.000 |   372.000 |    744.000 |   372.000 |
|    18 |   0 |  18 |   0 |   0 |   0 | GET    | /api/player/competition/9fa53520/ranking      |  0.028 | 12.928 | 116.736 |  6.485 | 12.832 | 12.928 | 12.928 |  6.153 | 13685.000 | 13712.000 | 246371.000 | 13687.278 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/aec44bca                   |  0.024 | 12.796 |  12.820 |  6.410 | 12.796 | 12.796 | 12.796 |  6.386 |   925.000 |  1020.000 |   1945.000 |   972.500 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/1df5f450d                  |  0.012 | 12.544 |  12.556 |  6.278 | 12.544 | 12.544 | 12.544 |  6.266 |   829.000 |  1022.000 |   1851.000 |   925.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa53adc/score     |  6.232 |  6.232 |   6.232 |  6.232 |  6.232 |  6.232 |  6.232 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52d7d                   |  0.092 | 12.340 |  12.432 |  6.216 | 12.340 | 12.340 | 12.340 |  6.124 |   277.000 |   372.000 |    649.000 |   324.500 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/15c6d6383                  |  0.032 | 12.320 |  12.352 |  6.176 | 12.320 | 12.320 | 12.320 |  6.144 |     0.000 |   703.000 |    703.000 |   351.500 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/9fa52c62                   |  0.060 | 12.288 |  12.348 |  6.174 | 12.288 | 12.288 | 12.288 |  6.114 |     0.000 |   356.000 |    356.000 |   178.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa528d4                   |  6.104 |  6.232 |  12.336 |  6.168 |  6.232 |  6.232 |  6.232 |  0.064 |   453.000 |   659.000 |   1112.000 |   556.000 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/9fa52878                   |  5.188 |  7.304 |  18.472 |  6.157 |  7.304 |  7.304 |  7.304 |  0.873 |   659.000 |   760.000 |   2078.000 |   692.667 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a36                   |  6.144 |  6.144 |   6.144 |  6.144 |  6.144 |  6.144 |  6.144 |  0.000 |   776.000 |   776.000 |    776.000 |   776.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa5289f                   |  5.304 |  6.904 |  12.208 |  6.104 |  6.904 |  6.904 |  6.904 |  0.800 |   659.000 |   758.000 |   1417.000 |   708.500 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/3818ad037                  |  0.240 | 11.856 |  12.096 |  6.048 | 11.856 | 11.856 | 11.856 |  5.808 |     0.000 |   813.000 |    813.000 |   406.500 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/9fa52880                   |  5.212 |  7.636 |  18.104 |  6.035 |  7.636 |  7.636 |  7.636 |  1.132 |   453.000 |   760.000 |   1872.000 |   624.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52a5e/score     |  5.932 |  5.932 |   5.932 |  5.932 |  5.932 |  5.932 |  5.932 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/2e68ee915                  |  0.088 | 11.652 |  11.740 |  5.870 | 11.652 | 11.652 | 11.652 |  5.782 |     0.000 |   908.000 |    908.000 |   454.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a0f                   |  5.796 |  5.796 |   5.796 |  5.796 |  5.796 |  5.796 |  5.796 |  0.000 |   674.000 |   674.000 |    674.000 |   674.000 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/1fc1c4b83                  |  0.084 | 11.356 |  11.440 |  5.720 | 11.356 | 11.356 | 11.356 |  5.636 |     0.000 |   925.000 |    925.000 |   462.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa52897                   |  5.648 |  5.648 |   5.648 |  5.648 |  5.648 |  5.648 |  5.648 |  0.000 |   659.000 |   659.000 |    659.000 |   659.000 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/40ba51f6f                  |  0.012 | 11.216 |  11.228 |  5.614 | 11.216 | 11.216 | 11.216 |  5.602 |     0.000 |   797.000 |    797.000 |   398.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa527a8                   |  5.612 |  5.612 |   5.612 |  5.612 |  5.612 |  5.612 |  5.612 |  0.000 |   659.000 |   659.000 |    659.000 |   659.000 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/ad597159                   |  0.104 | 11.088 |  11.192 |  5.596 | 11.088 | 11.088 | 11.088 |  5.492 |     0.000 |   815.000 |    815.000 |   407.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa528da                   |  5.392 |  5.392 |   5.392 |  5.392 |  5.392 |  5.392 |  5.392 |  0.000 |   659.000 |   659.000 |    659.000 |   659.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa5278b/score     |  5.272 |  5.272 |   5.272 |  5.272 |  5.272 |  5.272 |  5.272 |  0.000 |    54.000 |    54.000 |     54.000 |    54.000 |
|    16 |   0 |  16 |   0 |   0 |   0 | GET    | /api/player/competition/9fa53e5e/ranking      |  0.020 |  7.652 |  83.584 |  5.224 |  7.648 |  7.652 |  7.652 |  3.499 | 13530.000 | 13530.000 | 216480.000 | 13530.000 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/9fa527e3                   |  0.004 |  7.796 |  15.092 |  5.031 |  7.796 |  7.796 |  7.796 |  3.560 |   543.000 |   543.000 |   1629.000 |   543.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/player/player/9fa528f0                   |  4.964 |  4.964 |   4.964 |  4.964 |  4.964 |  4.964 |  4.964 |  0.000 |   657.000 |   657.000 |    657.000 |   657.000 |
|    20 |   0 |  19 |   0 |   1 |   0 | GET    | /api/player/competition/9fa536b7/ranking      |  0.024 |  7.956 |  95.500 |  4.775 |  7.936 |  7.948 |  7.956 |  3.737 |     0.000 | 13583.000 | 258074.000 | 12903.700 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/5cc34d18f                  |  0.136 |  8.748 |   8.884 |  4.442 |  8.748 |  8.748 |  8.748 |  4.306 |   588.000 |   683.000 |   1271.000 |   635.500 |
|    25 |   0 |  24 |   0 |   1 |   0 | GET    | /api/player/competition/9fa5323b/ranking      |  0.020 |  7.628 | 110.372 |  4.415 |  7.512 |  7.528 |  7.628 |  3.203 |     0.000 | 13640.000 | 325120.000 | 13004.800 |
|     3 |   0 |   2 |   0 |   1 |   0 | GET    | /api/player/player/9fa52908                   |  1.236 |  6.148 |  13.080 |  4.360 |  6.148 |  6.148 |  6.148 |  2.217 |     0.000 |   659.000 |   1112.000 |   370.667 |
|     4 |   0 |   3 |   0 |   1 |   0 | GET    | /api/player/player/9fa52a21                   |  0.016 |  7.580 |  16.044 |  4.011 |  7.580 |  7.580 |  7.580 |  3.535 |     0.000 |   776.000 |   1894.000 |   473.500 |
|     3 |   0 |   2 |   0 |   1 |   0 | GET    | /api/player/competition/33e795195/ranking     |  0.380 | 10.696 |  12.024 |  4.008 | 10.696 | 10.696 | 10.696 |  4.735 |     0.000 |  6552.000 |  10937.000 |  3645.667 |
|     3 |   0 |   2 |   0 |   1 |   0 | GET    | /api/player/player/aa01e1e4                   |  0.152 | 11.144 |  11.840 |  3.947 | 11.144 | 11.144 | 11.144 |  5.092 |     0.000 |   911.000 |   1727.000 |   575.667 |
|    30 |   0 |  30 |   0 |   0 |   0 | GET    | /api/player/competition/9fa52d91/ranking      |  0.028 | 12.768 | 118.384 |  3.946 |  9.408 |  9.500 | 12.768 |  4.666 | 13807.000 | 13862.000 | 414348.000 | 13811.600 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa527c6                   |  0.056 |  7.800 |   7.856 |  3.928 |  7.800 |  7.800 |  7.800 |  3.872 |   358.000 |   543.000 |    901.000 |   450.500 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/9fa52a4c                   |  1.240 |  6.612 |   7.852 |  3.926 |  6.612 |  6.612 |  6.612 |  2.686 |     0.000 |   468.000 |    468.000 |   234.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a13                   |  7.824 |  7.824 |   7.824 |  3.912 |  7.824 |  7.824 |  7.824 |  3.912 |   282.000 |   373.000 |    655.000 |   327.500 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/1c7493154                  |  0.048 | 11.600 |  11.708 |  3.903 | 11.600 | 11.600 | 11.600 |  5.443 |   927.000 |  1022.000 |   2971.000 |   990.333 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa528ac                   |  7.784 |  7.784 |   7.784 |  3.892 |  7.784 |  7.784 |  7.784 |  3.892 |   357.000 |   542.000 |    899.000 |   449.500 |
|     8 |   0 |   8 |   0 |   0 |   0 | POST   | /api/organizer/players/add                    |  2.760 |  4.948 |  31.048 |  3.881 |  4.948 |  4.948 |  4.948 |  0.876 | 12150.000 | 22460.000 | 141827.000 | 17728.375 |
|     7 |   0 |   7 |   0 |   0 |   0 | GET    | /api/player/competition/23c568e63/ranking     |  0.044 | 12.944 |  25.804 |  3.686 | 12.944 | 12.944 | 12.944 |  5.695 |  4343.000 | 11135.000 |  66660.000 |  9522.857 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/9fa52a24                   |  1.092 |  6.268 |   7.360 |  3.680 |  6.268 |  6.268 |  6.268 |  2.588 |     0.000 |   776.000 |    776.000 |   388.000 |
|    28 |   0 |  27 |   0 |   1 |   0 | GET    | /api/player/competition/9fa52e16/ranking      |  0.024 |  7.944 | 102.296 |  3.653 |  7.912 |  7.944 |  7.944 |  3.793 |     0.000 | 13765.000 | 367462.000 | 13123.643 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa527b1                   |  0.032 |  7.192 |   7.224 |  3.612 |  7.192 |  7.192 |  7.192 |  3.580 |   543.000 |   543.000 |   1086.000 |   543.000 |
|     2 |   0 |   1 |   0 |   1 |   0 | GET    | /api/player/player/9fa52895                   |  0.448 |  6.776 |   7.224 |  3.612 |  6.776 |  6.776 |  6.776 |  3.164 |     0.000 |   760.000 |    760.000 |   380.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a11                   |  0.192 |  7.008 |   7.200 |  3.600 |  7.008 |  7.008 |  7.008 |  3.408 |   675.000 |   776.000 |   1451.000 |   725.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /initialize                                   |  3.536 |  3.536 |   3.536 |  3.536 |  3.536 |  3.536 |  3.536 |  0.000 |    55.000 |    55.000 |     55.000 |    55.000 |
|    35 |   0 |  34 |   0 |   1 |   0 | GET    | /api/player/competition/9fa52a5e/ranking      |  0.016 |  7.808 | 123.196 |  3.520 |  7.520 |  7.524 |  7.808 |  3.173 |     0.000 | 13628.000 | 463203.000 | 13234.371 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a4e                   |  0.224 |  6.800 |   7.024 |  3.512 |  6.800 |  6.800 |  6.800 |  3.288 |   559.000 |   776.000 |   1335.000 |   667.500 |
|    21 |   0 |  20 |   0 |   1 |   0 | GET    | /api/player/competition/9fa53adc/ranking      |  0.024 |  6.504 |  72.428 |  3.449 |  6.456 |  6.472 |  6.504 |  3.099 |     0.000 | 13703.000 | 271789.000 | 12942.333 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52822                   |  0.092 |  6.704 |   6.796 |  3.398 |  6.704 |  6.704 |  6.704 |  3.306 |   453.000 |   543.000 |    996.000 |   498.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa529b5                   |  0.016 |  6.572 |   6.588 |  3.294 |  6.572 |  6.572 |  6.572 |  3.278 |   559.000 |   675.000 |   1234.000 |   617.000 |
|     4 |   0 |   4 |   0 |   0 |   0 | GET    | /api/player/player/9fa527ce                   |  0.004 |  6.340 |  12.720 |  3.180 |  6.340 |  6.340 |  6.340 |  3.107 |   358.000 |   760.000 |   2236.000 |   559.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa527f0                   |  6.308 |  6.308 |   6.308 |  3.154 |  6.308 |  6.308 |  6.308 |  3.154 |   543.000 |   659.000 |   1202.000 |   601.000 |
|     3 |   0 |   1 |   0 |   2 |   0 | GET    | /api/player/player/9fa529cf                   |  0.396 |  7.832 |   9.420 |  3.140 |  7.832 |  7.832 |  7.832 |  3.334 |     0.000 |   557.000 |    557.000 |   185.667 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/505aa1900                  |  0.012 |  8.868 |   9.092 |  3.031 |  8.868 |  8.868 |  8.868 |  4.128 |   589.000 |   684.000 |   1957.000 |   652.333 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52525/score     |  2.100 |  3.868 |   5.968 |  2.984 |  3.868 |  3.868 |  3.868 |  0.884 |    53.000 |    53.000 |    106.000 |    53.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa5296c                   |  0.012 |  5.928 |   5.940 |  2.970 |  5.928 |  5.928 |  5.928 |  2.958 |   673.000 |   774.000 |   1447.000 |   723.500 |
|    34 |   0 |  33 |   0 |   1 |   0 | GET    | /api/player/competition/9fa5278b/ranking      |  0.016 | 12.708 | 100.912 |  2.968 |  8.272 | 11.380 | 12.708 |  3.646 |     0.000 | 12793.000 | 407168.000 | 11975.529 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a2e                   |  0.132 |  5.780 |   5.912 |  2.956 |  5.780 |  5.780 |  5.780 |  2.824 |   559.000 |   675.000 |   1234.000 |   617.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52835                   |  0.012 |  5.892 |   5.904 |  2.952 |  5.892 |  5.892 |  5.892 |  2.940 |   266.000 |   659.000 |    925.000 |   462.500 |
|     4 |   0 |   4 |   0 |   0 |   0 | GET    | /api/player/player/9fa5285c                   |  0.004 |  5.848 |  11.656 |  2.914 |  5.848 |  5.848 |  5.848 |  2.876 |   358.000 |   453.000 |   1717.000 |   429.250 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/player/player/9fa52981                   |  0.200 |  5.376 |   5.576 |  2.788 |  5.376 |  5.376 |  5.376 |  2.588 |   558.000 |   673.000 |   1231.000 |   615.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa5365f/score     |  2.728 |  2.728 |   2.728 |  2.728 |  2.728 |  2.728 |  2.728 |  0.000 |    53.000 |    53.000 |     53.000 |    53.000 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/1c5753489                  |  0.008 |  8.148 |   8.168 |  2.723 |  8.148 |  8.148 |  8.148 |  3.836 |   825.000 |   923.000 |   2573.000 |   857.667 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52d90/score     |  2.328 |  3.052 |   5.380 |  2.690 |  3.052 |  3.052 |  3.052 |  0.362 |    54.000 |    54.000 |    108.000 |    54.000 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/9fa528cd                   |  0.004 |  7.820 |   7.860 |  2.620 |  7.820 |  7.820 |  7.820 |  3.677 |   453.000 |   760.000 |   1756.000 |   585.333 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa53cc4/score     |  2.468 |  2.768 |   5.236 |  2.618 |  2.768 |  2.768 |  2.768 |  0.150 |    54.000 |    54.000 |    108.000 |    54.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa53f79/score     |  2.500 |  2.728 |   5.228 |  2.614 |  2.728 |  2.728 |  2.728 |  0.114 |    54.000 |    54.000 |    108.000 |    54.000 |
|     3 |   0 |   3 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52409/score     |  1.888 |  3.884 |   7.812 |  2.604 |  3.884 |  3.884 |  3.884 |  0.907 |    54.000 |    54.000 |    162.000 |    54.000 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/9fa52a02                   |  0.128 |  7.372 |   7.724 |  2.575 |  7.372 |  7.372 |  7.372 |  3.392 |   374.000 |   776.000 |   1926.000 |   642.000 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/player/player/9fa5291e                   |  0.004 |  7.136 |   7.452 |  2.484 |  7.136 |  7.136 |  7.136 |  3.292 |   374.000 |   775.000 |   1823.000 |   607.667 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa535e9/score     |  2.444 |  2.516 |   4.960 |  2.480 |  2.516 |  2.516 |  2.516 |  0.036 |    54.000 |    54.000 |    108.000 |    54.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa52af4/score     |  2.244 |  2.712 |   4.956 |  2.478 |  2.712 |  2.712 |  2.712 |  0.234 |    54.000 |    54.000 |    108.000 |    54.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa53285/score     |  2.312 |  2.400 |   4.712 |  2.356 |  2.400 |  2.400 |  2.400 |  0.044 |    54.000 |    54.000 |    108.000 |    54.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /api/organizer/competition/9fa5278c/score     |  2.192 |  2.264 |   4.456 |  2.228 |  2.264 |  2.264 |  2.264 |  0.036 |    53.000 |    53.000 |    106.000 |    53.000 |
